date,open,high,aumenta
1.56482E+12,10516.83,10666,0
1.56483E+12,10641.43,10815,1
1.56483E+12,10789.04,10838.98,0
1.56483E+12,10780.68,10849.29,0
1.56484E+12,10846.06,10862.43,0
1.56484E+12,10777.93,10822.64,0
1.56484E+12,10797.32,10848.63,0
1.56485E+12,10828.29,10840.57,0
1.56485E+12,10785.6,10875.89,0
1.56486E+12,10763.48,10790,0
1.56486E+12,10768.02,10783.34,0
1.56486E+12,10741.97,10745.09,0
1.56487E+12,10733.47,10828.55,0
1.56487E+12,10795.2,10818.99,0
1.56487E+12,10791.94,10809,0
1.56488E+12,10733.17,10820,0
1.56488E+12,10793.54,10850.59,0
1.56488E+12,10829.55,10870.66,0
1.56489E+12,10846.22,10904.77,0
1.56489E+12,10851.14,10880,0
1.56489E+12,10879.34,10889.77,0
1.5649E+12,10830.17,10849,0
1.5649E+12,10820.6,10826,0
1.56491E+12,10816.86,10897,0
1.56491E+12,10833.85,10880.2,0
1.56491E+12,10849.11,10854.42,0
1.56492E+12,10804,10808.21,0
1.56492E+12,10754.99,10757.24,0
1.56492E+12,10609.77,10670.67,0
1.56493E+12,10608.2,10714.6,0
1.56493E+12,10708.03,10714.16,0
1.56493E+12,10668.74,10706.8,0
1.56494E+12,10662.99,10739.78,0
1.56494E+12,10738.77,10742.29,0
1.56495E+12,10716.07,10724.96,0
1.56495E+12,10669.23,10708.93,0
1.56495E+12,10650.33,10703,0
1.56496E+12,10658.36,10780,0
1.56496E+12,10770.15,10973.53,1
1.56496E+12,10944.22,10992.1,0
1.56497E+12,10919.02,10941.2,0
1.56497E+12,10896.03,10943.68,0
1.56497E+12,10907.23,10939,0
1.56498E+12,10921.14,10970,0
1.56498E+12,10913.42,10968.58,0
1.56498E+12,10944.98,11040,0
1.56499E+12,10944.52,10979.61,0
1.56499E+12,10929.99,11198,1
1.565E+12,11178.11,11460,1
1.565E+12,11409.17,11600,1
1.565E+12,11599.49,11648,0
1.56501E+12,11564.87,11602.53,0
1.56501E+12,11562,11571.85,0
1.56501E+12,11530.08,11634.4,0
1.56502E+12,11607.32,11848,1
1.56502E+12,11673.31,11750,0
1.56502E+12,11749.46,11749.99,0
1.56503E+12,11721.51,11774,0
1.56503E+12,11616.61,11778.76,0
1.56504E+12,11776.52,11800,0
1.56504E+12,11755.38,11795,0
1.56504E+12,11745.02,11810.61,0
1.56505E+12,11775.13,11775.13,0
1.56505E+12,11747.58,11900,0
1.56505E+12,11862.02,11937.52,0
1.56506E+12,11773.88,11871.38,0
1.56506E+12,11809.74,11822.22,0
1.56506E+12,11751.5,11840,0
1.56507E+12,11733.54,11794,0
1.56507E+12,11742.41,11858.2,0
1.56507E+12,11811,11850,0
1.56508E+12,11830,11839.82,0
1.56508E+12,11779.93,11810.74,0
1.56509E+12,11694.92,11698.96,0
1.56509E+12,11665,11734.95,0
1.56509E+12,11708.3,11712.55,0
1.5651E+12,11702.47,11828.3,0
1.5651E+12,11827.92,12199,1
1.5651E+12,12145.06,12330.7,1
1.56511E+12,12185.37,12258.57,0
1.56511E+12,12202.39,12259.52,0
1.56511E+12,12219.94,12295,0
1.56512E+12,11748.03,11846.63,0
1.56512E+12,11775.79,11797.94,0
1.56513E+12,11705.22,11799.99,0
1.56513E+12,11799.84,11800,0
1.56513E+12,11738.02,11760.93,0
1.56514E+12,11700,11800,0
1.56514E+12,11788.63,11836,0
1.56514E+12,11713.34,11750,0
1.56515E+12,11735.41,11761.4,0
1.56515E+12,11709.62,11747,0
1.56515E+12,11674.39,11677.16,0
1.56516E+12,11385,11447,0
1.56516E+12,11325.1,11515,1
1.56516E+12,11481.69,11520,0
1.56517E+12,11474.18,11575.94,0
1.56517E+12,11526.41,11694.02,0
1.56518E+12,11645.26,11670,0
1.56518E+12,11640.01,11725.27,0
1.56518E+12,11694.82,11725,0
1.56519E+12,11615.99,11683.41,0
1.56519E+12,11631.27,11645.44,0
1.56519E+12,11541.53,11607.38,0
1.5652E+12,11574.93,11665.43,0
1.5652E+12,11630.21,11700,0
1.5652E+12,11635.15,11745.81,0
1.56521E+12,11743.09,11800,0
1.56521E+12,11785.68,12141.17,1
1.56522E+12,12034.84,12114.72,0
1.56522E+12,12064.47,12093.18,0
1.56522E+12,11662.75,11725.01,0
1.56523E+12,11675,11793.53,0
1.56523E+12,11790.39,11822,0
1.56523E+12,11751,11818.96,0
1.56524E+12,11792.25,11976.08,1
1.56524E+12,11897.07,12079.51,1
1.56524E+12,11945.12,12030,0
1.56525E+12,11971.58,12016.02,0
1.56525E+12,11975.04,12017.75,0
1.56525E+12,11975,11975.01,0
1.56526E+12,11899.88,11973.54,0
1.56526E+12,11940.84,12000,0
1.56527E+12,11956.03,11972.2,0
1.56527E+12,11948.02,11950,0
1.56527E+12,11923.35,11925.02,0
1.56528E+12,11846.15,11920,0
1.56528E+12,11919.98,11975,0
1.56528E+12,11903.39,11944.7,0
1.56529E+12,11872.39,11872.46,0
1.56529E+12,11835.19,11914.96,0
1.56529E+12,11825.67,11923,0
1.5653E+12,11848.84,11853.16,0
1.5653E+12,11687.99,11768.76,0
1.56531E+12,11720.94,11769.57,0
1.56531E+12,11692.82,11799.22,0
1.56531E+12,11728.34,11750,0
1.56532E+12,11597.27,11675.05,0
1.56532E+12,11661.57,11683.83,0
1.56532E+12,11614.59,11670.7,0
1.56533E+12,11654.11,11790,0
1.56533E+12,11755,11875,0
1.56533E+12,11848.39,12060,1
1.56534E+12,11994.17,12045.68,0
1.56534E+12,11969.94,11970,0
1.56534E+12,11890.5,11929.16,0
1.56535E+12,11921.77,11950,0
1.56535E+12,11873.46,11934.35,0
1.56536E+12,11888.35,11900,0
1.56536E+12,11862.12,11872.34,0
1.56536E+12,11855.55,11900,0
1.56537E+12,11873.42,11970,0
1.56537E+12,11841.78,11859.94,0
1.56537E+12,11765.21,11820,0
