date,open,high,previsao
1577606400000,7315.36,7316.14,0
1577610000000,7308.11,7309.52,0
1577613600000,7289.69,7310.85,0
1577617200000,7308.66,7312.55,0
1577620800000,7307.06,7308.78,0
1577624400000,7299.46,7319,0
1577628000000,7318.02,7323.99,0
1577631600000,7318.2,7323.39,0
1577635200000,7315.5,7360.67,0
1577638800000,7353.89,7359.59,0
1577642400000,7312.99,7328.99,0
1577646000000,7321.08,7348,0
1577649600000,7346.08,7367,0
1577653200000,7363.2,7400,0
1577656800000,7392.77,7414.69,0
1577660400000,7388.82,7419.02,0
1577664000000,7395.03,7430,0
1577667600000,7405.32,7411.91,0
1577671200000,7410.71,7427.99,0
1577674800000,7425.57,7480,0
1577678400000,7472.13,7528.45,0
1577682000000,7397.7,7408.99,0
1577685600000,7395.08,7428.22,0
1577689200000,7398.48,7415.11,0
1577692800000,7388.43,7389.83,0
1577696400000,7339.74,7361.89,0
1577700000000,7354,7370.97,0
1577703600000,7360.03,7365.94,0
1577707200000,7349.54,7379.99,0
1577710800000,7374.88,7381.57,0
1577714400000,7379.84,7389,0
1577718000000,7385.2,7408.24,0
1577721600000,7385.27,7385.29,0
1577725200000,7365,7377.89,0
1577728800000,7326.11,7349.7,0
1577732400000,7312.91,7327.74,0
1577736000000,7314.74,7338.89,0
1577739600000,7303.56,7343.99,0
1577743200000,7320.18,7339.58,0
1577746800000,7307.12,7307.81,0
1577750400000,7261.1,7268.54,0
1577754000000,7257.25,7270,0
1577757600000,7259,7268.1,0
1577761200000,7245.39,7257.89,0
1577764800000,7241.15,7284.16,0
1577768400000,7265.24,7281.33,0
1577772000000,7269.04,7288.88,0
1577775600000,7277.57,7285.49,0
1577779200000,7246,7255,0
1577782800000,7251,7269,0
1577786400000,7264.96,7266.74,0
1577790000000,7247.01,7250,0
1577793600000,7236.6,7263.15,0
1577797200000,7240.21,7268.48,0
1577800800000,7264.05,7267,0
1577804400000,7244.72,7255.02,0
1577808000000,7250.3,7250.54,0
1577811600000,7229.84,7244,0
1577815200000,7229.2,7255.15,0
1577818800000,7244.08,7256.94,0
1577822400000,7243.64,7248,0
1577826000000,7247.99,7252,0
1577829600000,7239.14,7320,0
1577833200000,7237.44,7261.02,0
1577836800000,7195,7225.62,0
1577840400000,7212.45,7213.56,0
1577844000000,7167.72,7174.04,0
1577847600000,7169.32,7185,0
1577851200000,7173.75,7187.89,0
1577854800000,7176.51,7188.93,0
1577858400000,7185.92,7208.41,0
1577862000000,7200.52,7206.29,0
1577865600000,7195.24,7196.25,0
1577869200000,7176.47,7230,0
1577872800000,7215.52,7244.87,0
1577876400000,7242.66,7245,0
1577880000000,7225,7230,0
1577883600000,7217.26,7229.76,0
1577887200000,7224.24,7236.27,0
1577890800000,7225.88,7232.94,0
1577894400000,7209.83,7210,0
1577898000000,7200.29,7210.51,0
1577901600000,7189.07,7210,0
1577905200000,7202.01,7237.73,0
1577908800000,7197.2,7233.33,0
1577912400000,7225.84,7231.89,0
1577916000000,7221.17,7234.97,0
1577919600000,7221.6,7255,0
1577923200000,7234.2,7246.42,0
1577926800000,7244.34,7249.99,0
1577930400000,7237.02,7246.72,0
1577934000000,7240.8,7241,0
1577937600000,7229.48,7242.98,0
1577941200000,7237.26,7242.75,0
1577944800000,7233.32,7234.49,0
1577948400000,7197.62,7204.17,0
1577952000000,7200.77,7212.5,0
1577955600000,7211.04,7211.16,0
